abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
FORTLEW,,,FORTLEW,Ft Lewis,ii,,Rocky Mountain,2237,4000,Durango,US,False,,,37.2395367,-107.821581791693,Ray Dennison Memorial Field,CO,,5944,,81302,http://a.espncdn.com/i/teamlogos/ncaa/500/2237.png,,Skyhawks,Fort Lewis,
FOR,#2a307f,,FOR,Ft Valley,ii,#f9bd0a,SIAC,2232,10000,Fort Valley,US,False,,,32.5537585,-83.8874084,Wildcat Stadium (GA),GA,,5945,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2232.png,,Wildcats,Fort Valley State,
FRA,,,FRA,Framingham,iii,,MSCAC,2967,5300,Framingham,US,False,,,42.3095704,-71.4413097,Bowditch Field,MA,,3819,,01702,http://a.espncdn.com/i/teamlogos/ncaa/500/2967.png,,Rams,Framingham State,
FRANKLIN,#fdd106,,FRANKLIN,Franklin,iii,#1b295b,Heartland,2233,4000,Franklin,US,False,222.7,,33.704156,-117.75109,"Stewart """"Red"""" Faught Stadium",IN,,3716,1999,92620,http://a.espncdn.com/i/teamlogos/ncaa/500/2233.png,,Grizzlies,Franklin,
,,,,,,,,1001005,,,,,,,,,,,,,,,,,,Franklin College,
FRKLNMAR,#6cb3e9,,FRKLNMAR,Frkln Mrsh,iii,#25377d,Centennial,2234,2500,Lancaster,US,False,,,40.03813,-76.3056686,Shadek Stadium,PA,,7077,,17603,http://a.espncdn.com/i/teamlogos/ncaa/500/2234.png,,Diplomats,Franklin & Marshall,
FRANK,,,FRANK,FRNKLNPRCE,ii,,Northeast 10,112334,,,,,,,,,,,,,,,,,Ravens,Franklin Pierce,
FRES,#002e6d,,FRES,Fresno St,fbs,#db0032,Mountain West,278,41031,Fresno,US,False,102.564064,False,36.8143527,-119.7580092,Valley Children's Stadium,CA,America/Los_Angeles,3660,1980,93740,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,,Bulldogs,Fresno State,@FresnoStateFB
FRIE,,,FRIE,Friends,,,,527,,,,,,,,,,,,,,,,,Friends,Friends University,
FRO,,,FRO,Frostburg,ii,,Mountain East,341,4000,Frostburg,US,False,,,39.6581425,-78.928357,Bobcat Stadium (MD),MD,,3642,,21532,http://a.espncdn.com/i/teamlogos/ncaa/500/341.png,,Bobcats,Frostburg State,
FUR,#ffffff,,FUR,Furman,fcs,#582c83,Southern,231,16000,Greenville,US,False,303.2829285,False,34.920192,-82.4370917,Paladin Stadium,SC,America/New_York,3868,1981,29617,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png,,Paladins,Furman,@PaladinFootball
GALLAUDET,,,GALLAUDET,Gallaudet,iii,,ECFC,417,1500,Washington,US,False,,,38.8950368,-77.0365427,Hotchkiss Field,DC,,5848,,20549,http://a.espncdn.com/i/teamlogos/ncaa/500/417.png,,Bison,Gallaudet,
GAN,,,GAN,Gannon,ii,,Pennsylvania State Athletic,367,2500,Erie,US,False,,,42.1294712,-80.0852695,McConnell Family Stadium,PA,,4441,,16530,http://a.espncdn.com/i/teamlogos/ncaa/500/367.png,,Golden Knights,Gannon,
,,,,,,,,1000957,,,,,,,,,,,,,,,,,,Garden City C.C. ,
GWEB,#909090,Gardner Webb,GWEB,Gardner-Webb,fcs,#c12535,Big South-OVC,2241,9000,Boiling Springs,US,False,253.207016,False,35.2457593,-81.6739887,Ernest W. Spangler Stadium,NC,America/New_York,3710,1969,28152,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,,Runnin' Bulldogs,Gardner-Webb,@GWUFootball
GENEVA,,,GENEVA,Geneva,iii,,Presidents',2242,6000,Beaver Falls,US,False,,,40.7520097,-80.3192295,Reeves Field (PA),PA,,5849,,15010,http://a.espncdn.com/i/teamlogos/ncaa/500/2242.png,,Golden Tornadoes,Geneva,
GMU,#ecb010,,GMU,George Mason,,#016600,,2244,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,,Patriots,George Mason University,
GTWN,#001c58,,GTWN,Georgetown,fcs,#110E42,Patriot,46,3750,Washington,US,False,32.38431549,False,38.9080248,-77.0753144,Cooper Field,DC,America/New_York,3847,2003,20007,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png,,Hoyas,Georgetown,@HoyasFB
GTOWNCOLL,,,GTOWNCOLL,G'Town Col,,,,2245,,,,,,,,,,,,,,,,,Tigers,Georgetown College Kentucky,
UGA,#ffffff,,UGA,Georgia,fbs,#ba0c2f,SEC,61,92746,Athens,US,False,186.1120758,True,33.9498197,-83.3733813,Sanford Stadium,GA,America/New_York,3917,1929,30602,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,,Bulldogs,Georgia,@GeorgiaFootball
GASO,#f0f0f0,,GASO,GA Southern,fbs,#003775,Sun Belt,290,25000,Statesboro,US,False,61.25376892,False,32.4122471,-81.7849296,Allen E. Paulson Stadium,GA,America/New_York,3608,1984,30460,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,,Eagles,Georgia Southern,@GSAthletics_FB
GAST,#ebebeb,,GAST,Georgia St,fbs,#1e539a,Sun Belt,2247,25000,Atlanta,US,False,287,False,33.735267,-84.389949,Center Parc Stadium,GA,America/New_York,4246,2017,30315,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,,Panthers,Georgia State,@GeorgiaStateFB
GT,#b3a369,,GT,Georgia Tech,fbs,#003057,ACC,59,55000,Atlanta,US,False,279.300415,False,33.7724449,-84.3928054,Bobby Dodd Stadium,GA,America/New_York,721,1913,30332,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,,Yellow Jackets,Georgia Tech,@GeorgiaTechFB
GETTY,,,GETTY,Gettysburg,iii,,Centennial,2248,6000,Gettysburg,US,False,,,39.8308973,-77.231012,Shirk Field at Musselman Stadium,PA,,5851,,17325,http://a.espncdn.com/i/teamlogos/ncaa/500/2248.png,,Bullets,Gettysburg,
GLENVILLE,,,GLENVILLE,Glenville,ii,,Mountain East,2249,2800,Glenville,US,False,,,38.9342573,-80.8376033,I.L. & Sue Morris Stadium,WV,,5887,,26351,http://a.espncdn.com/i/teamlogos/ncaa/500/2249.png,,Pioneers,Glenville State,
,,,,,,,,1001027,,,,,,,,,,,,,,,,,,Glenville State ,
GRC,,,GRC,Graceland,,,,530,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/530.png,,Graceland,Graceland University,
GRAM,#ffd10a,Grambling State,GRAM,Grambling,fcs,#ee8601,SWAC,2755,19600,Grambling,US,False,94.58428955,False,32.5258665,-92.7146412,Eddie Robinson Stadium,LA,America/Chicago,3902,1983,71245,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,,Tigers,Grambling,@GSU_Tigers
GVSU,,,GVSU,Grand Vall,ii,,GLIAC,125,10444,Allendale,US,False,205.8,False,42.968996,-85.894735,Lubbers Stadium,MI,America/Detroit,3811,1973,49401,http://a.espncdn.com/i/teamlogos/ncaa/500/125.png,,Lakers,Grand Valley State University,
TUS,#000000,,TUS,Tusculum,ii,#f2682a,South Atlantic,2839,3500,Greeneville,US,False,,,36.1631575,-82.8309861,Pioneer Field (TN),TN,,6078,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2839.png,,Pioneers,Greeneville,
GRNSBORO,,,GRNSBORO,Greensboro,iii,,USA South,2256,10000,Greensboro,US,False,,,36.0726355,-79.7919754,Jamieson Stadium,NC,,5852,,27401,http://a.espncdn.com/i/teamlogos/ncaa/500/2256.png,,Pride,Greensboro College,
GRNVIL,#000000,,GRNVIL,Greenville,iii,#f36917,Upper Midwest,2257,2000,Greenville,US,False,,,38.8922687,-89.4131356,Francis Field (IL),IL,,5853,,62246,http://a.espncdn.com/i/teamlogos/ncaa/500/2257.png,,Panthers,Greenville,
GRI,,,GRI,Grinnell,iii,,Midwest,65,1500,Grinnell,US,False,,,41.7430237,-92.7239637,Rosenbloom Field,IA,,5861,,50112,http://a.espncdn.com/i/teamlogos/ncaa/500/65.png,,Pioneers,Grinnell,
GRO,,,GRO,Grove City,iii,,Presidents',146,3500,Grove City,US,False,,,41.1579008,-80.0886631,Robert E. Thorn Field,PA,,5864,,,http://a.espncdn.com/i/teamlogos/ncaa/500/146.png,,Wolverines,Grove City College,
GUI,#dcddde,,GUI,Guilford,iii,#910028,Old Dominion,2258,2200,Greensboro,US,False,,,36.0726355,-79.7919754,Armfield Athletic Center,NC,,5892,,27401,http://a.espncdn.com/i/teamlogos/ncaa/500/2258.png,,Quakers,Guilford College,
GUSADOL,#ebb700,,GUSADOL,Gustvs Adl,iii,,Minnesota,2968,3000,Saint Peter,US,False,,,44.3238384,-93.9585295,Hollingsworth Field,MN,,5893,,56082,http://a.espncdn.com/i/teamlogos/ncaa/500/2968.png,,Golden Gusties,Gustavus Adolphus,
HAM,#d5b98b,,HAM,Hamilton,iii,#062f87,NESCAC,348,2000,Clinton,US,False,,,44.7278943,-73.6686982,Steuben Field,NY,,5894,,12923,http://a.espncdn.com/i/teamlogos/ncaa/500/348.png,,Continentals,Hamilton,
HAM,#ffffff,,HAM,Hamline,iii,#98012e,Minnesota,162,2000,Saint Paul,US,False,,,44.9497487,-93.0931028,Klas Field,MN,,5895,,,http://a.espncdn.com/i/teamlogos/ncaa/500/162.png,,Pipers,Hamline University,
HAM,#a8b1b7,,HAM,Hamp Sdney,iii,#900028,Old Dominion,297,1850,Farmville,US,False,,,37.3024713,-78.3923813,Lewis C. Everett Stadium,VA,,5896,,23901,http://a.espncdn.com/i/teamlogos/ncaa/500/297.png,,Tigers,Hampden-Sydney,
HAMP,,,HAMP,Hampton,fcs,#0067AC,CAA,2261,12000,Hampton,US,False,2.574624538,False,37.0200894,-76.3331555,Armstrong Stadium,VA,America/New_York,3620,1928,23669,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,,Pirates,Hampton,@Hampton_FB
HAN,#990000,,HAN,Hanover,iii,#0b486d,Heartland,2262,4000,Hanover,US,False,,,38.7142263,-85.4735707,Alumni Stadium (IN),IN,,3614,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2262.png,,Panthers,Hanover College,
HARDING,,,HARDING,Harding,ii,,Great American,2264,5854,Searcy,US,False,,,35.9018987,-92.7098744,First Security Stadium,AR,,5885,,72121,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png,,Bisons,Harding University,
HARDSIM,#fec52f,,HARDSIM,Hardn-Simm,iii,#5b2d83,American Southwest,2810,4000,Abilene,US,False,,,32.44645,-99.7475905,Shelton Stadium,TX,,5114,,79697,http://a.espncdn.com/i/teamlogos/ncaa/500/2810.png,,Cowboys,Hardin-Simmons,
HAR,,,HAR,Hartwick,iii,,Empire 8,173,1200,Oneonta,US,False,,,42.453492,-75.0629531,Wright Stadium,NY,,5636,,13820,http://a.espncdn.com/i/teamlogos/ncaa/500/173.png,,Hawks,Hartwick,
HARV,#dbdbdb,,HARV,Harvard,fcs,#990000,Ivy,108,30323,Boston,US,False,1.96428895,False,42.366704,-71.1267511,Harvard Stadium,MA,America/New_York,3750,1903,2134 ,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png,,Crimson,Harvard,@HarvardFootball
HASKELL,,Haskell Indian Nations,HASKELL,Haskell,,,,535,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/535.png,,Jayhawks,Haskell Indian Nations Univ,
HAW,#ffffff,,HAW,Hawai'i,fbs,#003420,Mountain West,62,9000,Honolulu,,False,20,True,21.294294,-157.819338,Clarence T.C. Ching Athletics Complex,HI,,7220,,96822,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,,Rainbow Warriors,Hawai'i,@HawaiiFootball
HEI,,,HEI,Heidelberg,iii,,Ohio,191,1300,Tiffin,US,False,,,41.114485,-83.1779537,Hoernemann Stadium,OH,,5854,,44883,http://a.espncdn.com/i/teamlogos/ncaa/500/191.png,,Student Princes,Heidelberg,
HENDERSON,,,HENDERSON,Henderson,ii,,Great American,2271,9600,Arkadelphia,US,False,,,34.1209292,-93.053784,Ruggles Field at Carpenter-Haygood Stadium,AR,,5113,,71998,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png,,Reddies,Henderson State,
HENDRIX,,,HENDRIX,Hendrix,iii,,Southern Athletic,418,1500,Conway,US,False,,,35.2521996,-92.6888936,Young-Wise Memorial Stadium,AR,,4423,,72112,http://a.espncdn.com/i/teamlogos/ncaa/500/418.png,,Warriors,Hendrix College,
,,,,,,,,1001016,,,,,,,,,,,,,,,,,,Highland C.C.,
HIL,,,HIL,Hilbert College,iii,,Empire 8,125974,,,,,,,,,,,,,,,,,Hawks,Hilbert College,
HILLSDALE,,,HILLSDALE,Hillsdale,ii,,Great Midwest Athletic,2273,8500,Hillsdale,US,False,,,41.8779105,-84.5984396,"Frank ""Muddy"" Waters Stadium",MI,,3729,,66036,http://a.espncdn.com/i/teamlogos/ncaa/500/2273.png,,Chargers,Hillsdale,
,,,,,,,,1000984,,,,,,,,,,,,,,,,,,Hillsdale College,
,,,,,,,,1000979,,,,,,,,,,,,,,,,,,Hinds C.C.,
HIRAM,,,HIRAM,Hiram,iii,,North Coast,2274,2500,Hiram,US,False,,,41.312555,-81.14371,Charles A. Henry Field,OH,,5855,,44234,http://a.espncdn.com/i/teamlogos/ncaa/500/2274.png,,Terriers,Hiram College,
HBRT,,,HBRT,Hobart,iii,,Liberty League,174,3000,Geneva,US,False,,,42.8690271,-76.9786122,Boswell Field at David J. Urick Stadium,NY,,5856,,14456,http://a.espncdn.com/i/teamlogos/ncaa/500/174.png,,Statesmen,Hobart College,
HOL,,,HOL,Holland College,,,,108354,,,,,,,,,,,,,,,,,Hurricanes,Holland College,
,,,,,,,,1000982,,,,,,,,,,,,,,,,,,Holmes C.C.,
HC,#080808,,HC,Holy Cross,fcs,#0a0a0a,Patriot,107,23500,Worcester,US,False,137.3915253,True,42.2403564,-71.8111424,Fitton Field,MA,America/New_York,3722,1924,1601 ,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png,,Crusaders,Holy Cross,@HCrossFB
,,,,,,,,1001002,,,,,,,,,,,,,,,,,,Hope ,
HOP,,,HOP,Hope,iii,,Michigan,2812,5300,Holland,US,False,,,42.7876022,-86.1090828,Ray and Sue Smith Stadium,MI,,3755,,49423,http://a.espncdn.com/i/teamlogos/ncaa/500/2812.png,,Flying Dutchmen,Hope College,
HOU,#ffffff,,HOU,Houston,fbs,#c92a39,Big 12,248,40000,Houston,US,False,9.57440567,False,29.7219885,-95.3491623,TDECU Stadium,TX,America/Chicago,4728,2014,77004,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,,Cougars,Houston,@UHCougarFB
HCU,,Houston Baptist,HCU,Hou Christian,fcs,#00539c,Southland,2277,5000,Houston,US,False,19.87884521,False,29.6949025,-95.5167353,Husky Stadium,TX,America/Chicago,4424,2014,77074,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,,Huskies,Houston Christian,@HCUFootball
HOW,#e51937,,HOW,Howard,fcs,#003a63,MEAC,47,10000,Washington,US,False,53.46718979,False,38.925487,-77.021047,William H. Greene Stadium,DC,America/New_York,3990,1926,20059,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png,,Bison,Howard,@HUBisonFootball
HOWPAY,#b5985b,,HOWPAY,Hwrd Payne,iii,#02215b,American Southwest,2758,7500,Brownwood,US,False,,,31.7070026,-98.9831022,Gordon Wood Stadium,TX,,5857,,76801,http://a.espncdn.com/i/teamlogos/ncaa/500/2758.png,,Yellow Jackets,Howard Payne,
HUM,,,HUM,Humboldt St,,#000000,,2278,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2278.png,,Lumberjacks,Humboldt State,
HNTNGDN,,,HNTNGDN,Huntingdon,iii,,USA South,2938,2500,Montgomery,US,False,,,32.3669656,-86.3006485,Charles Lee Field at Samford Stadium,AL,,3915,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2938.png,,Hawks,Huntingdon College (AL),
HUSSON,#b09a5f,,HUSSON,Husson,iii,#004b44,Commonwealth Coast,2280,3000,Bangor,US,False,,,44.8011821,-68.7778138,Dr. John W. Winkin Sports Complex,ME,,3995,,04401,http://a.espncdn.com/i/teamlogos/ncaa/500/2280.png,,Eagles,Husson,
,,,,,,,,1000953,,,,,,,,,,,,,,,,,,Hutchinson C.C.,
,,,,,,,,1000940,,,,,,,,,,,,,,,,,,Hutchinson C.C.,
IDHO,#8c6e4a,,IDHO,Idaho,fcs,,Big Sky,70,16000,Moscow,US,True,794.4794922,False,46.7262921,-117.0173713,Kibbie Dome,ID,America/Los_Angeles,3791,1975,83843,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,,Vandals,Idaho,@VandalFootball
IDST,#e9a126,,IDST,Idaho St,fcs,#ef8c00,Big Sky,304,12000,Pocatello,US,True,1390.252441,False,42.8702052,-112.4281274,Holt Arena,ID,America/Boise,1930,1970,83201,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png,,Bengals,Idaho State,@IdahoStateFB
ILL,#13294b,,ILL,Illinois,fbs,#ff5f05,Big Ten,356,60670,Champaign,US,False,223.2471619,False,40.0993268,-88.2359569,"Memorial Stadium (Champaign, IL)",IL,America/Chicago,3832,1923,61820,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,,Fighting Illini,Illinois,@IlliniFootball
ILLCOLL,,,ILLCOLL,Ill Col,iii,,Midwest,2286,1468,Jacksonville,US,False,,,39.7343037,-90.2288356,England Stadium,IL,,5858,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2286.png,,Blueboys,Illinois College,
ILST,#ffe716,,ILST,Illinois St,fcs,#CE1126,MVFC,2287,15000,Normal,US,False,242.8722687,False,40.5125091,-88.9967177,Hancock Stadium,IL,America/Chicago,3744,1963,61761,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,,Redbirds,Illinois State,@RedbirdFB
ILLWES,,,ILLWES,IL Weslyan,iii,,CCIW,306,3500,Bloomington,US,False,,,40.4797828,-88.9939147,Tucci Stadium,IL,,5859,,,http://a.espncdn.com/i/teamlogos/ncaa/500/306.png,,Titans,Illinois Wesleyan,
UIW,#080808,,UIW,Incarnate Word,fcs,,Southland,2916,6000,San Antonio,US,False,208.4659576,False,29.4674787,-98.470014,Gayle and Tom Benson Stadium,TX,America/Chicago,3734,2008,78209,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,,Cardinals,Incarnate Word,@UIWFootball
,,,,,,,,1000963,,,,,,,,,,,,,,,,,,Independence C.C.,
,,,,,,,,1000942,,,,,,,,,,,,,,,,,,Independence C.C.,
,,,,,,,,1000964,,,,,,,,,,,,,,,,,,Independence C.C.,
IU,#edebeb,,IU,Indiana,fbs,#990000,Big Ten,84,52656,Bloomington,US,False,231.6500854,False,39.1808959,-86.5256217,"Memorial Stadium (Bloomington, IN)",IN,America/Indiana/Indianapolis,3830,1960,47408,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,,Hoosiers,Indiana,@IndianaFootball
INDIANAPA,,IUP,INDIANAPA,Indiana PA,ii,,Pennsylvania State Athletic,2291,6000,Indiana,US,False,,,40.6214551,-79.1525349,George P. Miller Stadium,PA,,4433,,15102,http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png,,Crimson Hawks,Indiana-Pennsylvania,
INDY,,,INDY,Indy,ii,,Great Lakes,2292,5500,Indianapolis,US,False,,,39.7683331,-86.1583502,Key Stadium,IN,,6040,,46222,http://a.espncdn.com/i/teamlogos/ncaa/500/2292.png,,Greyhounds,Indianapolis,
INST,#f0f0f0,,INST,Indiana St,fcs,#00669a,MVFC,282,12764,Terre Haute,US,False,155.5213165,False,39.4746858,-87.3669599,Memorial Stadium,IN,America/Indiana/Indianapolis,3829,1925,47809,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,,Sycamores,Indiana State,@IndianaStateFB
INWESL,,,INWESL,INDWESLYAN,,,,111756,,,,,,,,,,,,,,,,,Wildcats,Indiana Wesleyan,
IONA,,,IONA,Iona,,,,314,,,,,,,,,,,,,,,,,Gaels,Iona,
IOWA,#FFCD00,,IOWA,Iowa,fbs,#000000,Big Ten,2294,69250,Iowa City,US,False,220.6357727,False,41.6586045,-91.5510829,Kinnick Stadium,IA,America/Chicago,3793,1929,52242,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,,Hawkeyes,Iowa,@HawkeyeFootball
,,,,,,,,1000943,,,,,,,,,,,,,,,,,,Iowa Central C.C.,
ISU,#fdca2f,,ISU,Iowa State,fbs,#822433,Big 12,66,61500,Ames,US,False,274.9135437,True,42.0139977,-93.6357716,Jack Trice Stadium,IA,America/Chicago,3772,1975,50011,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,,Cyclones,Iowa State,@CycloneFB
IOW,,,IOW,Iowa Wesleyan,,#000000,,2295,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2295.png,,Tigers,Iowa Wesleyan,
,,,,,,,,1000973,,,,,,,,,,,,,,,,,,Iowa Western C.C.,
,,,,,,,,1001021,,,,,,,,,,,,,,,,,,Itawamba C.C.,
ITH,,,ITH,Ithaca,iii,,Liberty League,175,5000,Ithaca,US,False,,,42.4396039,-76.4968019,Butterfield Stadium,NY,,5862,,,http://a.espncdn.com/i/teamlogos/ncaa/500/175.png,,Bombers,Ithaca College,
JKST,#b5b7ba,,JKST,Jackson St,fcs,#123297,SWAC,2296,44215,Jackson,US,False,108.4067383,True,32.3300053,-90.1795578,Mississippi Veterans Memorial Stadium,MS,America/Chicago,3976,1941,39216,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,,Tigers,Jackson State,@GoJSUTigersFB
JAC,,,JAC,Jacksonville,,#00523e,,294,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png,,Dolphins,Jacksonville,
JVST,#b5b7ba,,JVST,Jax State,fbs,#b50500,Conference USA,55,24000,Jacksonville,US,False,198.0679016,False,33.8201052,-85.76647,AmFirst Stadium,AL,America/Chicago,3662,1947,36265,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,,Gamecocks,Jacksonville State,@JSUGamecocksFB
JMU,#b5a068,,JMU,James Madison,fbs,#450084,Sun Belt,256,24877,Harrisonburg,US,False,399.303009,False,38.4352919,-78.8729349,Bridgeforth Stadium,VA,America/New_York,3651,1975,22807,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,,Dukes,James Madison,@JMUFootball
JAM,,,JAM,Jamestown,,,,2939,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2939.png,,Jimmies,Jamestown College,
JOH,,,JOH,John Carrl,iii,,Ohio,2302,5416,University Heights,US,False,,,41.497831,-81.537346,Don Shula Stadium at Wasmer Field,OH,,5863,,45220,http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png,,Blue Streaks,John Carroll University,
JHU,,,JHU,Johns Hopkins,iii,,Centennial,118,8500,Baltimore,US,False,,,39.2908816,-76.610759,Homewood Field,MD,,5124,,21221,http://a.espncdn.com/i/teamlogos/ncaa/500/118.png,,Blue Jays,Johns Hopkins University,
JOH,,Johnson Smith,JOH,Jsn C Smth,ii,,CIAA,2304,4500,Charlotte,US,False,,,35.2272086,-80.8430827,Irwin Belk Complex,NC,,6041,,28206,http://a.espncdn.com/i/teamlogos/ncaa/500/2304.png,,Golden Bulls,Johnson C Smith,
,,,,,,,,1001009,,,,,,,,,,,,,,,,,,Johnson C. Smith University,
JUN,#ac9c66,,JUN,Juniata,iii,#031832,Landmark Conference,246,3000,Huntingdon,US,False,,,40.4847959,-78.0102813,Knox Stadium,PA,,5902,,16652,http://a.espncdn.com/i/teamlogos/ncaa/500/246.png,,Eagles,Juniata College,
KAL,,,KAL,Kalamazoo,iii,,Michigan,126,2458,Kalamazoo,US,False,,,42.291707,-85.5872286,Angell Field,MI,,5904,,49007,http://a.espncdn.com/i/teamlogos/ncaa/500/126.png,,Hornets,Kalamazoo,
KU,#e8000d,,KU,Kansas,fbs,#0051ba,Big 12,2305,47000,Lawrence,US,False,274.855957,False,38.9629418,-95.2463686,Memorial Stadium,KS,America/Chicago,3833,1921,66045,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,,Jayhawks,Kansas,@KU_Football
KSU,#e2e3e4,,KSU,Kansas St,fbs,#3c0969,Big 12,2306,50000,Manhattan,US,False,328.0574646,False,39.2020096,-96.5938395,Bill Snyder Family Stadium,KS,America/Chicago,3636,1968,66502,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,,Wildcats,Kansas State,@KStateFB
KANSA,,,KANSA,KS Weslyan,,,,547,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/547.png,,Ks Wesleyan,Kansas Wesleyan,
,,,,Keiser (Fl),,,,127230,,,,,,,,,,,,,,,,,Keiser (Fl),Keiser (Fl),
KEISER,,,KEISER,Keiser Univers,,,,126110,,,,,,,,,,,,,,,,,Keiser,Keiser University,
KENN,#000000,Kennesaw,KENN,Kennesaw St,fbs,#fdbb30,Conference USA,338,8318,Kennesaw,US,False,296.9589844,,34.0289318,-84.5676234,Fifth Third Stadium,GA,,4899,2010,48187,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,,Owls,Kennesaw State,@KennesawStFB
KENT,#efab00,,KENT,Kent State,fbs,#003976,Mid-American,2309,25319,Kent,US,False,321.3641663,False,41.1390935,-81.31346,Dix Stadium,OH,America/New_York,3696,1969,44242,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,,Golden Flashes,Kent State,@KentStFootball
UK,#ffffff,,UK,Kentucky,fbs,#0033a0,SEC,96,61000,Lexington,US,False,307.4248962,False,38.0220905,-84.5053408,Kroger Field,KY,America/New_York,3683,1973,40506,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,,Wildcats,Kentucky,@UKFootball
KYST,,,KYST,Kentucky St,ii,,SIAC,2310,6000,Frankfort,US,False,,,38.2009055,-84.8732836,Alumni Stadium (KY),KY,,6042,,40601,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png,,Thorobreds,Kentucky State,
KYWESL,,,KYWESL,KY Wesleyn,ii,,Great Midwest Athletic,2316,3000,Owensboro,US,False,122.5809097,,37.742297,-87.119976,Steele Stadium,KY,,5263,2004,42   ,http://a.espncdn.com/i/teamlogos/ncaa/500/2316.png,,Panthers,Kentucky Wesleyan,
KEN,,,KEN,Kenyon,iii,,North Coast,352,1762,Gambier,US,False,,,40.375643,-82.3970994,McBride Field,OH,,5906,,43022,http://a.espncdn.com/i/teamlogos/ncaa/500/352.png,,Owls,Kenyon,
KEYST,,,KEYST,KYSTN,iii,,Landmark Conference,122774,1250,La Plume,US,False,,,41.5565738,-75.7551655,Athletic Field Complex,PA,,7082,,18440,,,Keystone,Keystone,
,,,,,,,,1000954,,,,,,,,,,,,,,,,,,Kilgore J.C.,
KIN,#000000,,KIN,Kings PA,iii,#c41230,Mid Atlantic,247,3000,Wilkes Barre Township,US,False,,,41.23369915,-75.8536417894352,McCarthy Stadium (Wilkes Barre),PA,,5907,,18702,http://a.espncdn.com/i/teamlogos/ncaa/500/247.png,,Monarchs,Kings College (PA),
KUTZTOWN,,,KUTZTOWN,Kutztown,ii,,Pennsylvania State Athletic,2315,5600,Kutztown,US,False,,,40.5173165,-75.7774177,Andre Reed Stadium,PA,,4432,,17067,http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png,,Golden Bears,Kutztown University,
,,,,,,,,1000990,,,,,,,,,,,,,,,,,,Lackawanna C.C.,
